year,annual-estival-days
1987,91
1988,74
1989,58
1990,88
1991,81
1992,75
1993,93
1994,107
1995,62
1996,67
1997,89
1998,99
1999,101
2000,112
2001,112
2002,81
2003,119
2004,90
2005,96
2006,105
2007,112
2008,104
2009,118
2010,92
2011,118
2012,121
2013,110
2014,115
2015,125
2016,92
