year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,43,-271,-384,23
1988,-44,-327,-415,-61
1989,-122,-270,-305,0
1990,-125,-325,-438,89
1991,-46,-321,-406,-75
1992,-123,-268,-418,-36
1993,-44,-344,-426,57
1994,-49,-384,-484,-105
1995,-121,-348,-250,-124
1996,44,-304,-328,2
1997,-112,-387,-329,168
1998,-23,-367,-453,41
1999,-52,-309,-325,-79
2000,-89,-290,-478,112
2001,5,-286,-428,-85
2002,-43,-182,-195,76
2003,105,-272,-303,162
2004,40,-188,-378,190
2005,48,-342,-239,287
2006,-25,-358,-348,-124
2007,92,-246,-439,106
2008,-5,-280,-467,312
2009,201,-91,-372,128
2010,207,-207,-303,110
2011,185,-300,-441,-42
2012,75,-323,-482,96
2013,106,-335,-430,250
2014,-78,-276,-410,-21
2015,255,-317,-422,50
2016,49,-191,-287,-23
