year,C1,C2,C3,C12,M1,M2,M8,Co2,Co3
,label C1-FGN,label C2,label C3-FGN,label C12,label M1-FGN,label M2,label M8,label Co2,label Co3
1987,0,0,-378,8,0,-645,31,1,16
1988,0,0,-390,9,0,-617,35,0,44
1989,0,0,-418,4,2,-647,34,0,53
1990,3,0,-365,10,2,-618,33,2,36
1991,2,0,-467,8,0,-702,37,0,56
1992,4,0,-351,8,0,-628,30,0,21
1993,0,0,-439,6,1,-657,41,0,28
1994,2,0,-433,9,0,-662,39,1,37
1995,0,0,-394,10,0,-603,35,1,14
1996,0,0,-457,9,0,-683,37,0,47
1997,1,0,-456,11,0,-709,33,3,0
1998,0,0,-336,7,0,-608,33,0,30
1999,0,0,-452,7,0,-673,27,3,35
2000,5,0,-400,6,1,-752,32,1,34
2001,0,0,-367,8,0,-598,28,0,71
2002,0,0,-363,10,0,-599,24,2,63
2003,1,0,-338,7,0,-622,36,2,36
2004,0,0,-374,8,0,-621,37,3,65
2005,0,0,-427,11,0,-636,26,0,83
2006,0,0,-322,8,0,-625,39,2,78
2007,0,0,-371,7,1,-667,33,0,105
2008,1,0,-390,10,0,-619,29,3,5
2009,0,0,-370,2,0,-673,31,0,18
2010,0,0,-433,8,0,-707,33,3,50
2011,1,0,-369,8,0,-625,25,0,7
2012,0,0,-314,10,2,-599,53,1,13
2013,0,0,-295,11,0,-582,46,3,58
2014,1,0,-380,11,0,-593,40,0,61
2015,0,0,-340,10,0,-550,44,2,71
2016,1,0,-301,10,0,-570,42,0,55
2016
2017,0,0,-371,10,3,-651,29,0,32
2018,0,0,-408,11,0,-644,25,0,46
2019,0,0,-350,7,1,-582,25,0,44
2020,0,0,-333,6,2,-587,44,0,37
2021,0,0,-367,10,0,-664,39,0,40
2022,2,0,-378,7,7,-642,19,0,42
2023,0,0,-491,7,2,-700,21,2,50
2024,0,0,-372,6,0,-685,36,1,73
2025,3,0,-420,11,0,-686,39,0,5
2026,10,0,-522,11,3,-700,20,0,30
2027,0,0,-444,10,0,-694,26,0,80
2028,0,0,-323,9,0,-586,28,0,76
2029,7,0,-389,9,0,-670,38,0,3
2030,5,0,-429,9,0,-690,34,2,25
2031,0,0,-299,9,2,-566,33,0,99
2032,0,0,-330,10,0,-609,22,0,74
2033,0,0,-371,7,1,-677,17,0,17
2034,2,0,-354,8,0,-576,24,0,75
2035,4,0,-428,7,0,-701,30,0,111
2036,0,0,-378,9,0,-640,30,0,42
2037,3,0,-385,11,1,-629,38,0,35
2038,0,0,-361,8,0,-582,27,0,79
2039,1,0,-393,7,0,-616,20,0,132
2040,0,0,-445,8,0,-642,30,0,15
2041,1,0,-352,8,5,-632,40,0,42
2042,2,0,-420,9,0,-704,32,0,87
2043,0,0,-314,10,0,-613,24,0,0
2044,0,0,-401,6,0,-620,36,2,6
2045,9,0,-358,8,1,-606,17,0,72
2046,3,0,-461,11,0,-691,17,0,14

min,,,,0,,,5
max,,,,11,,,55
steps,,,,12,,,11
decimals
