year,F1,F3,M4
,label F1,label F3,label M4-FGN
1987,31,106,3
1988,16,104,3
1989,24,89,3
1990,19,106,3
1991,19,95,2
1992,26,104,4
1993,25,103,3
1994,24,105,4
1995,18,100,4
1996,27,106,1
1997,23,104,4
1998,22,111,3
1999,25,101,4
2000,28,9,5
2001,27,97,3
2002,28,102,1
2003,16,104,4
2004,17,110,4
2005,27,95,3
2006,24,108,4
2007,20,112,4
2008,26,103,3
2009,21,109,3
2010,21,96,4
2011,16,102,2
2012,26,9,2
2013,20,103,3
2014,17,102,2
2015,21,108,4
2016,30,99,2
2016
2017,21,93,4
2018,18,9,2
2019,22,96,4
2020,20,9,4
2021,21,100,3
2022,21,96,4
2023,20,100,2
2024,20,109,4
2025,18,99,3
2026,20,88,3
2027,20,93,4
2028,15,102,3
2029,25,101,3
2030,16,96,4
2031,19,96,3
2032,18,101,4
2033,20,104,3
2034,19,99,3
2035,20,104,3
2036,23,99,4
2037,16,94,3
2038,26,96,3
2039,34,101,3
2040,20,92,2
2041,20,103,4
2042,19,93,3
2043,24,105,4
2044,17,103,2
2045,21,107,2
2046,18,96,3
