year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,31,-116,-199,-22
1988,138,146,-193,-46
1989,51,-154,-240,-59
1990,-9,-111,-256,104
1991,37,-82,-190,44
1992,-22,70,-234,179
1993,-100,57,-31,115
1994,2,-49,-189,14
1995,49,-176,-191,20
1996,49,-164,-170,148
1997,-30,-128,-197,-8
1998,-60,-155,-235,65
1999,15,-111,-241,72
2000,-49,-81,-257,78
2001,79,-94,-194,-59
2002,-10,-64,-141,123
2003,23,-306,-373,94
2004,105,-132,-305,92
2005,-93,-225,-201,-8
2006,53,-271,-266,-25
2007,9,-102,-298,-23
2008,-8,-120,-278,109
2009,13,-98,-325,47
2010,-8,-77,-322,51
2011,-24,-264,-240,-33
2012,-75,-153,-290,24
2013,127,-28,-249,57
2014,91,-100,-211,-3
2015,41,-222,-245,-68
2016,132,-105,-234,8
