year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,5.7,14.5,20.8,10.7
1988,7.9,15.1,19.2,10.2
1989,8.0,15.1,20.4,11.8
1990,9.5,15.2,20.9,9.2
1991,7.2,13.3,21.3,8.7
1992,6.3,14.8,20.4,9.8
1993,6.8,15.4,18.8,9.6
1994,8.1,14.6,20.6,11.2
1995,7.6,14.8,19.7,11.2
1996,7.6,15.4,18.9,9.6
1997,8.9,15.8,20.7,11.2
1998,8.6,15.1,20.2,8.6
1999,7.3,15.9,21.1,9.1
2000,7.3,16.1,20.5,11.0
2001,8.9,15.3,19.8,9.1
2002,8.7,15.5,19.2,11.2
2003,7.1,17.6,23.0,10.2
2004,6.8,15.6,21.1,9.8
2005,5.7,16.7,20.2,8.9
2006,6.5,16.7,21.9,11.3
2007,7.9,16.6,19.4,8.7
2008,8.4,15.5,19.7,9.1
2009,6.5,16.2,21.5,10.9
2010,5.8,15.3,20.7,8.9
2011,7.5,17.3,21.0,11.7
2012,6.1,15.9,20.8,10.9
2013,7.6,13.8,21.3,10.8
2014,9.0,16.3,20.5,12.4
2015,7.2,17.2,20.9,12.3
2016,8.5,15.1,21.3,10.5
