year,A1,A2,A3
,label A1,label A2,label A3
1987,132,1379,1116
1988,145,1284,1290
1989,108,1404,879
1990,144,1288,1335
1991,120,1510,1177
1992,142,1362,1344
1993,126,1272,1029
1994,115,1575,975
1995,138,1280,1176
1996,137,1419,1374
1997,134,1228,1102
1998,118,1608,1018
1999,117,1377,1015
2000,131,1430,1186
2001,147,1227,1361
2002,121,1196,1084
2003,135,1327,1129
2004,141,1284,1346
2005,141,1373,1078
2006,109,1577,1005
2007,130,1270,1099
2008,112,1248,1128
2009,116,1389,1042
2010,119,1158,1114
2011,114,1420,992
2012,131,1392,1169
2013,137,1435,1091
2014,133,1262,1173
2015,121,1429,1124
2016,152,1351,1246
2016
2017,132,1373,1116
2018,145,1284,1290
2019,108,1400,879
2020,144,1288,1335
2021,120,1510,1177
2022,142,1362,1344
2023,126,1259,1029
2024,115,1574,975
2025,138,1269,1176
2026,137,1419,1374
2027,134,1228,1102
2028,118,1583,1018
2029,117,1375,1015
2030,131,1430,1186
2031,147,1227,1361
2032,121,1185,1084
2033,135,1327,1129
2034,141,1284,1346
2035,141,1373,1078
2036,109,1575,1005
2037,130,1270,1099
2038,112,1244,1128
2039,116,1389,1042
2040,119,1157,1114
2041,114,1420,992
2042,131,1392,1169
2043,137,1435,1091
2044,133,1259,1173
2045,121,1423,1124
2046,152,1330,1246

min,80,900,600
max,160,1650,1500
steps,11,11,10
decimal
