year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,28,-142,-261,205
1988,122,-39,-262,1
1989,-36,-148,-360,15
1990,-45,-105,-333,136
1991,75,-175,-274,109
1992,-47,-63,-260,128
1993,-107,-71,-261,214
1994,72,-111,-134,227
1995,49,-209,-206,230
1996,362,-144,-187,297
1997,-13,-144,-235,284
1998,-6,-50,-250,56
1999,45,-39,-193,152
2000,-28,-73,-136,229
2001,173,-87,-185,47
2002,-5,-111,-182,233
2003,22,-283,-321,327
2004,133,-158,-236,116
2005,-68,-212,-249,154
2006,134,-297,-144,76
2007,52,-60,-234,9
2008,93,40,-306,244
2009,19,-44,-372,126
2010,174,-127,-322,231
2011,33,-307,-254,139
2012,-118,-27,-277,147
2013,111,1,-184,105
2014,129,-164,9,166
2015,35,-211,-175,8
2016,199,-30,-263,142
