year,F1,F3,M4
,label F1,label F3,label M4
1987,47,133,3
1988,44,139,2
1989,71,138,1
1990,52,132,1
1991,71,141,1
1992,57,122,1
1993,44,119,2
1994,63,131,3
1995,57,128,3
1996,56,137,2
1997,41,133,1
1998,66,138,1
1999,60,138,2
2000,59,137,4
2001,65,142,3
2002,57,140,3
2003,69,136,5
2004,53,118,3
2005,63,130,4
2006,57,130,2
2007,60,136,3
2008,69,142,3
2009,63,146,3
2010,59,133,2
2011,42,130,1
2012,69,146,2
2013,45,129,2
2014,62,137,2
2015,44,140,2
2016,71,141,2
2016
2017,45,121,5
2018,35,141,2
2019,63,121,5
2020,58,127,4
2021,45,127,6
2022,51,123,3
2023,45,126,5
2024,57,131,6
2025,55,126,1
2026,47,125,5
2027,32,132,5
2028,48,119,6
2029,41,122,5
2030,37,127,3
2031,29,126,4
2032,35,131,4
2033,30,126,3
2034,57,136,6
2035,39,121,5
2036,38,125,2
2037,43,115,4
2038,31,131,6
2039,31,123,5
2040,54,125,3
2041,54,131,5
2042,40,121,5
2043,41,119,4
2044,43,126,5
2045,52,128,5
2046,57,131,5

min,,80
max,,150
steps,,11
decimal
