year,F1,F3,M4
,label F1,label F3,label M4
1987,66,133,1
1988,76,141,2
1989,63,126,3
1990,57,122,4
1991,68,133,1
1992,46,122,1
1993,71,132,5
1994,73,146,1
1995,64,124,4
1996,78,140,1
1997,79,141,5
1998,83,145,2
1999,65,134,3
2000,71,124,4
2001,72,138,2
2002,59,131,2
2003,61,134,3
2004,79,150,1
2005,79,137,2
2006,67,131,1
2007,43,141,4
2008,67,131,3
2009,58,124,2
2010,70,125,1
2011,74,135,2
2012,67,136,1
2013,65,128,1
2014,61,138,2
2015,56,114,1
2016,80,132,3
2016
2017,36,123,5
2018,40,131,8
2019,58,127,3
2020,50,118,4
2021,66,135,6
2022,57,130,2
2023,47,129,4
2024,52,125,4
2025,42,128,2
2026,54,122,3
2027,82,143,4
2028,66,134,4
2029,48,121,3
2030,42,129,2
2031,41,128,5
2032,65,132,2
2033,38,127,6
2034,56,129,2
2035,46,130,4
2036,54,135,5
2037,43,126,3
2038,46,103,6
2039,51,115,3
2040,52,134,5
2041,43,126,4
2042,75,139,2
2043,45,122,4
2044,52,124,5
2045,41,125,3
2046,50,127,2
