year,winter-soft-wheat,winter-barley,triticale,rye,maize-for-grain,cereals-mixed-and-only-cereals,winter-rapeseed,sunflower,spring-field-peas,broad-bean,apple,maize-silage,temporary-grasslands,permanent-grasslands
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha
2000,50,47,48,50,82,40,32,24,38,28,150,115,69,51
2001,46,48,43,40,84,46,30,25,40,25,320,110,72,57
2002,58,55,52,49,75,48,32,25,40,28,350,115,64,53
2003,41,46,35,38,50,33,30,18,25,18,300,75,55,45
2004,58,58,51,50,90,40,32,27,20,25,350,120,72,57
2005,53,60,52,48,75,40,32,25,15,30,320,85,63,50
2006,56,62,52,52,92,38,27,25,31,32,350,125,82,68
2007,44,45,45,35,91,34,25,20,20,20,350,120,86,70
2008,52,48,45,47,65,38,30,23,36,38,300,100,82,67
2009,62,55,55,52,80,42,35,25,38,35,380,145,73,55
2010,52,50,50,42,76,38,27,22,30,30,360,135,69,52
2011,57,51,53,45,86,43,25,23,31,13,370,112,58,42
2012,56,55,51,44,61,47,30,21,30,28,100,140,73,55
2013,52,55,50,40,63,46,22,17,28,28,350,135,77,56
2014,60,62,53,40,100,47,34,25,32,25,360,180,87,64
2015,60,60,55,35,56,45,32,16,30,20,420,80,46,38
2016,40,43,37,32,36,35,34,16,18,19,350,52,52,43
2017,53,56,54,36,95,43,34,30,31,25,233,145,80,67
