year,F1,F3,M4
,label F1,label F3,label M4
1987,66,137,2
1988,53,141,3
1989,51,124,3
1990,60,139,2
1991,84,149,1
1992,59,142,0
1993,64,141,3
1994,39,140,3
1995,65,143,3
1996,35,131,1
1997,30,140,0
1998,41,132,2
1999,59,134,0
2000,44,137,1
2001,42,127,3
2002,56,125,3
2003,53,127,1
2004,62,142,4
2005,51,136,3
2006,55,125,4
2007,59,135,2
2008,60,133,2
2009,57,130,3
2010,58,136,1
2011,59,143,2
2012,36,135,2
2013,44,136,5
2014,52,141,2
2015,62,134,3
2016,50,127,3
2016
2017,26,131,3
2018,55,120,3
2019,37,119,3
2020,53,132,2
2021,46,136,4
2022,52,132,4
2023,42,127,4
2024,68,138,3
2025,43,133,4
2026,32,134,2
2027,29,132,1
2028,29,122,3
2029,57,129,3
2030,59,127,3
2031,73,134,2
2032,64,121,4
2033,37,129,3
2034,45,131,2
2035,74,134,4
2036,42,126,4
2037,37,127,3
2038,60,132,2
2039,51,128,6
2040,41,118,1
2041,53,139,4
2042,49,129,4
2043,37,132,3
2044,42,125,3
2045,35,136,1
2046,18,127,2
