year,annual-frozen-days
1987,71
1988,46
1989,56
1990,54
1991,63
1992,52
1993,55
1994,30
1995,42
1996,52
1997,46
1998,49
1999,42
2000,28
2001,51
2002,22
2003,56
2004,42
2005,67
2006,55
2007,33
2008,38
2009,53
2010,70
2011,31
2012,48
2013,66
2014,23
2015,46
2016,49
