year,annual-precipitations
1987,1115
1988,1140
1989,955
1990,1083
1991,855
1992,671
1993,1055
1994,996
1995,854
1996,791
1997,652
1998,978
1999,1300
2000,914
2001,1268
2002,1145
2003,686
2004,1126
2005,852
2006,1439
2007,1178
2008,1100
2009,881
2010,950
2011,803
2012,1078
2013,891
2014,860
2015,793
2016,1092
