year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,205,354,308,249
1988,436,176,239,290
1989,183,268,184,321
1990,249,283,185,366
1991,157,177,257,265
1992,104,195,121,250
1993,97,258,318,381
1994,282,299,233,182
1995,215,222,231,187
1996,65,182,184,360
1997,89,219,194,150
1998,179,317,268,215
1999,311,339,263,387
2000,108,169,359,278
2001,416,288,307,257
2002,255,251,172,468
2003,135,121,153,278
2004,287,177,287,376
2005,158,254,217,223
2006,350,313,479,297
2007,323,296,335,224
2008,262,230,340,268
2009,204,193,136,347
2010,177,190,303,280
2011,106,125,274,297
2012,131,284,264,400
2013,125,248,236,281
2014,180,193,275,211
2015,217,247,200,130
2016,339,480,98,175
