year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,0.1,12.0,18.2,6.5
1988,4.1,13.4,17.2,6.3
1989,5.0,12.9,17.6,6.2
1990,5.8,12.9,17.3,6.1
1991,3.2,11.3,19.1,5.1
1992,3.4,13.7,18.9,6.2
1993,3.4,14.3,16.5,5.1
1994,5.1,12.9,18.9,8.0
1995,4.5,12.8,17.7,6.7
1996,1.9,13.3,15.8,5.4
1997,4.5,13.2,18.2,6.4
1998,4.9,13.8,17.2,5.1
1999,3.9,13.7,18.6,5.7
2000,4.5,14.6,17.4,8.1
2001,5.2,13.5,17.3,6.5
2002,5.3,14.2,17.2,7.7
2003,4.0,15.4,20.5,6.3
2004,3.7,13.7,18.2,6.2
2005,3.5,14.7,18.1,6.5
2006,1.5,14.3,19.6,8.9
2007,6.2,16.2,16.6,5.6
2008,5.0,14.2,17.1,6.1
2009,2.1,15.0,18.5,7.1
2010,2.2,13.4,17.4,5.0
2011,4.4,15.4,17.8,7.7
2012,3.2,14.1,17.9,7.1
2013,1.5,12.5,18.4,6.8
2014,6.3,14.6,17.6,8.4
2015,4.1,14.6,19.4,8.7
2016,4.7,13.5,19.4,5.8
