year,A1,A2,A3
,label A1,label A2,label A3
1987,13,2168,116
1988,36,2240,213
1989,20,2499,127
1990,15,2237,133
1991,29,2012,224
1992,13,1811,114
1993,1,2281,57
1994,14,2404,154
1995,26,2273,164
1996,29,2215,231
1997,12,2261,112
1998,24,2342,161
1999,23,2088,160
2000,12,2416,155
2001,28,2203,179
2002,13,2396,112
2003,6,2260,77
2004,17,2146,152
2005,26,2391,183
2006,25,2429,166
2007,22,2082,159
2008,13,2392,102
2009,34,2365,210
2010,21,2255,147
2011,25,2077,157
2012,12,2539,113
2013,27,2380,163
2014,25,2253,190
2015,29,2381,188
2016,24,2069,179
2016
2017,58,1856,344
2018,32,2123,210
2019,47,2130,281
2020,45,1864,310
2021,32,1908,233
2022,42,2146,262
2023,38,1998,307
2024,32,2014,248
2025,44,2062,276
2026,36,2114,264
2027,28,2148,249
2028,59,2078,332
2029,25,2190,206
2030,31,2244,263
2031,50,2200,289
2032,51,2149,285
2033,34,2005,255
2034,25,2111,188
2035,50,2243,327
2036,57,2117,348
2037,34,1871,231
2038,46,1990,309
2039,31,1959,207
2040,33,2230,212
2041,58,1923,355
2042,43,2165,301
2043,38,2008,266
2044,25,2015,174
2045,42,1924,288
2046,47,2197,293

min,,1400
max,,3000
steps,,9
decimal
