year,annual-precipitations
1987,637
1988,704
1989,589
1990,460
1991,548
1992,637
1993,688
1994,873
1995,704
1996,559
1997,656
1998,784
1999,850
2000,795
2001,788
2002,799
2003,725
2004,613
2005,502
2006,688
2007,752
2008,715
2009,728
2010,584
2011,571
2012,746
2013,732
2014,742
2015,678
2016,638
