year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,8,-172,-177,198
1988,217,-123,-158,35
1989,70,-217,-314,104
1990,25,-179,-345,88
1991,77,-140,-224,82
1992,-26,-178,-132,206
1993,-26,-18,-162,144
1994,116,-112,-72,171
1995,237,-208,-224,63
1996,60,-228,-256,117
1997,48,-133,-248,137
1998,12,-52,-117,148
1999,39,-72,-103,192
2000,24,-56,-157,249
2001,209,-183,-71,62
2002,82,-188,-97,222
2003,40,-196,-142,171
2004,124,-225,-203,92
2005,-2,-156,-280,107
2006,76,-230,-139,160
2007,121,-60,-100,55
2008,90,-57,-150,89
2009,43,-89,-241,218
2010,88,-214,-240,141
2011,46,-260,-133,94
2012,-43,-56,-192,251
2013,120,-79,-247,169
2014,102,-111,-111,44
2015,83,-151,-143,56
2016,177,-49,-293,21
