year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,161,95,68,113
1988,75,227,40,49
1989,55,128,74,297
1990,37,133,53,108
1991,120,34,28,52
1992,35,111,48,209
1993,20,181,68,162
1994,81,117,32,141
1995,82,43,32,244
1996,155,146,41,154
1997,65,164,138,319
1998,89,160,48,71
1999,60,72,195,147
2000,48,162,55,256
2001,239,55,75,76
2002,100,70,89,197
2003,128,108,66,184
2004,80,55,90,108
2005,30,78,27,188
2006,94,91,87,158
2007,54,94,16,95
2008,39,127,28,74
2009,45,103,28,191
2010,187,157,28,212
2011,137,33,47,28
2012,29,77,32,106
2013,181,119,32,127
2014,136,53,87,98
2015,43,88,32,97
2016,150,146,20,57
