year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,45,-286,-405,15
1988,-82,-110,-446,-72
1989,-87,-256,-435,168
1990,-112,-249,-434,-3
1991,4,-377,-453,-48
1992,-105,-258,-400,114
1993,-99,-153,-365,65
1994,-46,-270,-426,44
1995,-61,-367,-420,124
1996,36,-210,-396,49
1997,-74,-174,-261,209
1998,-46,-186,-394,-32
1999,-70,-309,-231,51
2000,-84,-185,-378,148
2001,122,-333,-351,-27
2002,-28,-323,-355,86
2003,8,-283,-396,88
2004,-39,-335,-364,-3
2005,-99,-347,-469,73
2006,-24,-319,-373,56
2007,-72,-263,-454,-17
2008,-92,-207,-437,-31
2009,-100,-302,-433,71
2010,78,-198,-438,106
2011,25,-356,-395,-93
2012,-124,-315,-461,-5
2013,68,-234,-452,14
2014,6,-348,-353,-13
2015,-86,-310,-438,-6
2016,44,-192,-404,-32
