year,annual-estival-days
1987,90
1988,90
1989,102
1990,87
1991,102
1992,90
1993,71
1994,101
1995,97
1996,82
1997,83
1998,85
1999,98
2000,87
2001,88
2002,79
2003,98
2004,103
2005,108
2006,104
2007,67
2008,72
2009,105
2010,92
2011,105
2012,99
2013,80
2014,81
2015,92
2016,93
