year,annual-precipitations
1987,436
1988,391
1989,554
1990,331
1991,234
1992,403
1993,430
1994,370
1995,401
1996,496
1997,686
1998,368
1999,475
2000,521
2001,444
2002,457
2003,487
2004,334
2005,323
2006,431
2007,259
2008,268
2009,366
2010,584
2011,245
2012,243
2013,458
2014,373
2015,260
2016,373
