year,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10
1987,480,861,-634,-619,-16,11.4,4150,85,19.9,70
1988,348,893,-827,-765,-38,12.3,4506,102,21.1,60
1989,439,876,-727,-768,43,12.5,4562,96,20.7,40
1990,319,929,-889,-801,-37,12.4,4553,113,21.4,58
1991,376,968,-918,-807,-21,11.8,4311,92,19.2,45
1992,290,845,-846,-767,-22,11.7,4280,85,19.8,52
1993,348,920,-899,-738,-68,12.3,4500,93,20.0,36
1994,479,907,-756,-696,-3,11.7,4297,72,19.5,57
1995,432,802,-658,-668,2,11.7,4280,73,18.0,18
1996,316,949,-965,-776,-123,12.4,4540,107,20.5,55
1997,319,945,-961,-801,-79,11.8,4320,88,20.9,51
1998,345,860,-781,-714,8,11.6,4257,89,20.8,54
1999,422,948,-856,-787,-58,11.9,4352,80,19.3,55
2000,272,887,-982,-783,-116,11.7,4290,83,19.4,53
2001,396,843,-708,-663,-13,12.0,4389,72,19.2,22
2002,333,895,-850,-770,-45,12.0,4407,95,20.2,38
2003,328,937,-899,-785,-16,13.1,4770,109,21.6,53
2004,362,862,-806,-746,-27,12.4,4535,98,19.0,25
2005,402,888,-769,-743,-14,11.8,4333,99,20.7,62
2006,384,888,-775,-702,-2,12.1,4440,103,20.7,41
2007,453,870,-693,-627,30,11.5,4225,80,19.7,56
2008,330,896,-849,-724,-45,12.2,4473,88,21.0,42
2009,279,852,-856,-731,-69,11.8,4304,84,18.6,54
2010,510,888,-667,-713,53,12.3,4519,96,20.5,44
2011,340,890,-820,-746,-50,12.7,4633,101,19.6,35
2012,331,878,-816,-763,9,12.0,4374,87,20.7,55
2013,323,854,-827,-669,-26,11.8,4303,86,19.3,48
2014,398,837,-723,-659,6,11.7,4297,86,20.0,46
2015,408,839,-693,-682,38,11.0,4018,72,19.2,57
2016,458,903,-727,-739,9,12.3,4507,103,20.8,50
2016
2017,321,914,-859,-710,-52,13.1,4775,98,21.8,30
2018,343,904,-828,-767,-17,12.8,4657,103,21.0,19
2019,473,898,-700,-755,86,13.0,4738,107,20.3,18
2020,379,913,-821,-795,17,13.4,4888,109,20.8,23
2021,396,915,-872,-659,-145,12.8,4685,108,20.8,28
2022,291,914,-913,-846,-11,13.5,4923,128,22.7,35
2023,362,1006,-992,-818,-42,13.8,5057,123,21.5,23
2024,335,957,-1002,-795,-103,13.5,4948,108,20.7,31
2025,197,907,-994,-836,-42,13.3,4854,101,21.4,22
2026,658,877,-554,-573,51,12.0,4402,82,19.8,35
2027,324,953,-959,-881,-46,12.7,4629,95,19.5,28
2028,383,921,-831,-758,-3,13.7,5025,104,22.4,19
2029,298,988,-1057,-860,-136,13.9,5071,117,22.5,22
2030,392,972,-954,-784,-102,13.8,5037,117,21.7,25
2031,385,930,-833,-781,2,13.2,4836,109,20.7,29
2032,486,905,-699,-765,52,13.1,4782,103,21.2,44
2033,373,897,-815,-738,-45,12.5,4573,100,23.9,42
2034,338,942,-903,-767,-78,13.5,4921,113,21.3,19
2035,330,956,-936,-847,-46,14.1,5157,119,22.3,6
2036,466,891,-712,-682,-18,13.2,4821,106,20.2,20
2037,315,958,-947,-815,-100,13.7,5007,129,21.6,37
2038,427,929,-793,-747,-20,12.7,4631,118,20.7,35
2039,349,944,-904,-762,-35,13.5,4943,123,21.3,31
2040,433,915,-767,-706,0,13.6,4995,115,21.4,12
2041,534,882,-640,-671,119,13.3,4853,101,20.9,24
2042,322,944,-910,-859,-28,13.3,4844,110,20.8,18
2043,342,946,-886,-792,-59,13.3,4868,109,22.9,47
2044,350,888,-861,-803,-32,12.9,4721,107,19.6,36
2045,392,898,-789,-807,-15,13.0,4730,110,20.7,32
2046,280,941,-924,-825,-48,13.3,4874,120,22.8,34
