year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,6.1,14.3,21.6,8.9
1988,6.9,13.8,20.1,8.8
1989,6.8,14.6,20.8,10.8
1990,7.0,14.3,21.3,7.5
1991,5.9,13.8,22.0,8.0
1992,5.6,14.2,20.8,8.5
1993,5.5,13.7,19.0,7.9
1994,6.7,14.6,21.1,9.8
1995,7.3,15.4,19.7,10.6
1996,6.4,14.6,19.2,8.8
1997,8.4,14.5,20.5,9.8
1998,8.3,13.7,20.7,7.9
1999,5.9,14.7,20.2,7.9
2000,6.1,14.2,18.9,8.5
2001,6.5,13.9,18.6,5.9
2002,5.7,13.2,17.8,8.6
2003,5.0,14.5,20.2,7.5
2004,4.9,13.1,18.8,6.6
2005,2.9,14.4,18.9,7.1
2006,4.0,14.6,19.6,8.6
2007,5.1,12.8,17.8,6.2
2008,5.7,12.8,17.6,6.0
2009,4.8,13.8,19.6,8.3
2010,4.1,12.9,19.4,6.2
2011,5.6,15.0,18.9,8.5
2012,4.4,13.7,19.2,8.0
2013,5.1,11.7,19.8,7.3
2014,6.3,13.7,19.3,9.1
2015,4.8,14.8,19.2,8.5
2016,5.5,12.8,19.9,8.0
