year,V1,V2,V3,V9
,label V1,label V2,label V3,label V9
1987,1195,10,-174,3
1988,1098,9,-306,7
1989,982,10,-137,6
1990,1191,11,-280,1
1991,1359,13,-365,4
1992,1038,10,-157,4
1993,1092,11,-488,10
1994,1277,11,-489,7
1995,1194,10,-241,6
1996,1101,11,-236,8
1997,1375,11,-446,2
1998,1104,9,-53,0
1999,1238,10,-394,3
2000,972,9,-362,13
2001,1299,11,-28,5
2002,963,9,-184,8
2003,1016,10,-96,11
2004,1087,9,-269,0
2005,960,11,-119,7
2006,1187,9,-182,4
2007,1323,10,-116,9
2008,1054,12,-287,8
2009,1126,8,-211,7
2010,1148,10,-56,1
2011,1102,9,-251,5
2012,1270,11,-156,1
2013,1260,11,-179,1
2014,1177,11,-159,5
2015,1138,10,-71,6
2016,1235,9,-180,3
2016
2017,1559,12,-302,0
2018,1600,12,-350,0
2019,1364,12,-400,4
2020,1516,12,-348,7
2021,1619,10,-550,5
2022,1603,12,-320,0
2023,1301,11,-311,1
2024,1637,12,-518,0
2025,1149,9,-315,4
2026,1593,9,-427,2
2027,1407,10,-375,4
2028,1276,11,-214,6
2029,1292,10,-378,1
2030,1823,13,-512,4
2031,1571,11,-326,3
2032,1206,9,-210,0
2033,1520,11,-288,2
2034,1428,12,-291,6
2035,1500,10,-376,0
2036,1512,10,-236,1
2037,1249,9,-217,4
2038,1200,10,-209,5
2039,1402,12,-146,5
2040,1268,11,-356,1
2041,1492,9,-406,1
2042,1243,9,-264,11
2043,1351,11,-158,8
2044,1526,13,-259,4
2045,1324,11,-124,4
2046,1390,12,-369,0

min,800,5,,0
max,2300,17,,16
steps,11,8,,9
decimal



