year,A1,A2,A3
,label A1,label A2,label A3
1987,8,2740,65
1988,9,2915,63
1989,8,2971,66
1990,8,2942,61
1991,26,2702,186
1992,6,2929,58
1993,13,2896,81
1994,9,3029,111
1995,12,2848,81
1996,3,2954,33
1997,11,2678,82
1998,7,2790,60
1999,21,2931,147
2000,11,3071,84
2001,17,2971,100
2002,11,2907,80
2003,12,2976,92
2004,16,2707,95
2005,1,2965,33
2006,10,2764,73
2007,10,2962,88
2008,2,2918,31
2009,13,2864,94
2010,4,2745,45
2011,7,2789,59
2012,6,2700,61
2013,13,2822,87
2014,8,2911,71
2015,9,3021,69
2016,10,2898,88
2016
2017,36,2733,237
2018,27,2680,197
2019,18,2570,131
2020,35,2605,242
2021,34,2518,252
2022,30,2548,196
2023,12,2661,135
2024,30,2606,245
2025,11,2569,96
2026,32,2341,218
2027,25,2532,187
2028,16,2776,105
2029,26,2568,195
2030,47,2878,359
2031,24,2675,145
2032,5,2659,66
2033,30,2558,209
2034,35,2821,247
2035,25,2447,165
2036,24,2320,162
2037,31,2615,198
2038,23,2703,143
2039,24,2849,147
2040,18,2536,130
2041,34,2339,211
2042,26,2532,162
2043,32,2606,184
2044,28,2542,189
2045,17,2580,117
2046,18,2572,116

min,,2200
max,,3550
steps,,10
decimal



