year,annual-average-temperature
1987,7.3
1988,9.3
1989,9.8
1990,10.2
1991,8.6
1992,9.6
1993,8.6
1994,9.7
1995,9.0
1996,7.2
1997,9.2
1998,9.1
1999,9.8
2000,10.1
2001,9.1
2002,9.7
2003,9.3
2004,9.3
2005,9.4
2006,10.1
2007,10.3
2008,10.0
2009,9.5
2010,8.0
2011,9.9
2012,9.3
2013,9.2
2014,10.7
2015,10.3
2016,10.0

min,6
max,14
steps,9
decimal
