year,annual-average-temperature
1987,12.7
1988,13.3
1989,13.1
1990,13.6
1991,13.0
1992,13.8
1993,13.7
1994,14.5
1995,13.4
1996,13.2
1997,14.3
1998,14.1
1999,14.5
2000,14.6
2001,14.4
2002,14.9
2003,14.9
2004,13.9
2005,12.9
2006,14.1
2007,14.8
2008,14.7
2009,15.3
2010,14.2
2011,15.4
2012,14.9
2013,14.7
2014,15.5
2015,15.1
2016,14.7
