year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,164,-87,-181,149
1988,83,-48,-251,96
1989,-15,-38,133,23
1990,0,-52,-258,166
1991,-33,-66,-278,120
1992,-36,-165,-293,230
1993,-52,-209,-74,188
1994,5,-102,-247,79
1995,37,133,-118,-8
1996,-33,-86,-203,163
1997,-75,-227,-251,62
1998,-58,-91,-152,124
1999,-43,-29,-183,226
2000,-27,-126,-90,319
2001,151,-67,-75,31
2002,35,146,-10,179
2003,-48,-227,-293,184
2004,189,-24,-154,203
2005,-38,-71,-31,266
2006,7,-147,22,63
2007,78,-200,-113,15
2008,100,28,-178,272
2009,217,-148,-119,123
2010,122,-13,-100,354
2011,92,-204,-223,87
2012,-57,-58,-229,204
2013,270,2,-229,139
2014,432,12,246,212
2015,57,-147,-226,18
2016,162,31,-181,132
