year,annual-precipitations
1987,796
1988,682
1989,879
1990,688
1991,608
1992,643
1993,744
1994,660
1995,891
1996,717
1997,466
1998,670
1999,820
2000,930
2001,874
2002,1197
2003,585
2004,969
2005,889
2006,774
2007,665
2008,1066
2009,943
2010,1188
2011,754
2012,751
2013,996
2014,1698
2015,584
2016,1027
