year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,3.2,15.9,22.7,8.9
1988,6.6,16.9,21.8,7.8
1989,6.2,16.8,21.3,8.0
1990,6.6,17.0,21.6,8.9
1991,5.9,15.3,23.0,7.6
1992,5.8,17.4,22.9,9.0
1993,5.1,18.4,22.2,8.9
1994,7.0,17.8,23.9,9.2
1995,5.9,16.1,21.7,9.9
1996,5.1,17.5,20.4,9.5
1997,7.3,17.0,22.5,10.2
1998,6.6,18.1,23.3,8.2
1999,6.1,19.0,23.6,9.2
2000,5.4,19.5,22.6,10.9
2001,7.7,17.7,22.7,9.5
2002,7.0,18.8,22.8,10.8
2003,5.8,20.2,24.4,9.0
2004,5.2,17.1,22.4,10.7
2005,4.6,17.5,21.2,8.1
2006,4.2,18.0,23.2,10.7
2007,8.0,20.0,21.9,9.1
2008,6.8,18.1,23.3,10.5
2009,6.5,19.7,24.7,10.2
2010,5.8,18.3,23.1,9.3
2011,6.8,20.4,24.5,9.8
2012,6.4,18.3,24.7,10.2
2013,5.8,17.6,24.0,11.0
2014,9.2,18.6,21.9,12.0
2015,7.2,18.5,24.4,9.9
2016,7.5,17.9,23.7,9.7
