year,F1,F3,M4
,label F1,label F3,label M4-FGN
1987,38,111,1
1988,46,113,1
1989,55,109,1
1990,51,118,3
1991,50,112,0
1992,63,116,1
1993,42,119,0
1994,67,115,2
1995,51,109,1
1996,43,113,0
1997,50,122,1
1998,56,112,1
1999,64,116,2
2000,50,104,0
2001,57,111,1
2002,48,113,1
2003,43,112,2
2004,51,117,2
2005,63,124,2
2006,60,122,1
2007,42,112,0
2008,67,119,1
2009,46,110,1
2010,49,114,3
2011,39,111,1
2012,54,111,2
2013,55,114,0
2014,58,112,1
2015,52,111,1
2016,46,105,1
2016
2017,42,104,3
2018,52,113,2
2019,59,112,1
2020,41,115,3
2021,50,121,1
2022,37,110,3
2023,41,107,1
2024,48,108,1
2025,51,107,2
2026,33,109,3
2027,35,106,1
2028,34,114,2
2029,39,113,3
2030,41,123,1
2031,33,108,2
2032,44,110,4
2033,44,121,0
2034,59,119,2
2035,56,115,1
2036,32,122,1
2037,40,122,4
2038,57,108,1
2039,49,116,2
2040,44,112,3
2041,46,115,1
2042,28,113,2
2043,45,118,1
2044,44,111,2
2045,41,114,3
2046,53,116,1
