year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,81,116,66,395
1988,138,271,14,193
1989,59,244,199,184
1990,101,135,92,351
1991,78,204,59,369
1992,103,247,88,404
1993,42,126,167,350
1994,101,160,167,211
1995,216,147,316,89
1996,145,211,384,273
1997,79,272,94,281
1998,122,300,212,282
1999,167,154,130,160
2000,43,18,48,208
2001,261,124,60,100
2002,77,181,292,254
2003,109,120,140,271
2004,226,254,83,496
2005,146,145,187,640
2006,237,64,221,93
2007,129,85,85,86
2008,196,211,90,466
2009,148,226,126,324
2010,227,362,107,428
2011,174,84,165,78
2012,36,96,76,272
2013,229,165,154,225
2014,345,180,139,396
2015,318,156,169,175
2016,248,183,168,229
