year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,-49,-259,-423,268
1988,-13,-78,-475,50
1989,-99,-94,-223,50
1990,-34,-215,-345,215
1991,-87,-129,-444,212
1992,-26,-109,-335,282
1993,-103,-233,-261,229
1994,-39,-199,-281,83
1995,68,-196,-104,-50
1996,5,-148,-24,147
1997,-77,-96,-334,149
1998,-21,-79,-265,160
1999,27,-234,-330,31
2000,-84,-355,-385,89
2001,119,-242,-405,-46
2002,-77,-190,-85,129
2003,-43,-321,-434,129
2004,98,-86,-391,375
2005,4,-263,-277,513
2006,102,-336,-259,-48
2007,-6,-317,-405,-76
2008,60,-133,-406,343
2009,14,-197,-378,179
2010,94,4,-403,284
2011,34,-328,-299,-73
2012,-132,-287,-429,143
2013,105,-192,-322,97
2014,206,-190,-260,253
2015,162,-226,-315,57
2016,125,-146,-263,94
