year,annual-frozen-days
1987,41
1988,47
1989,42
1990,38
1991,47
1992,33
1993,48
1994,20
1995,46
1996,34
1997,20
1998,32
1999,49
2000,26
2001,14
2002,24
2003,33
2004,20
2005,47
2006,41
2007,29
2008,30
2009,20
2010,28
2011,25
2012,54
2013,43
2014,18
2015,11
2016,27
