year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,5.1,14.0,22.7,11.0
1988,6.9,15.2,21.9,10.0
1989,8.0,14.7,21.2,9.3
1990,7.7,14.3,21.0,9.3
1991,7.4,12.6,22.5,8.6
1992,6.6,15.3,21.6,11.6
1993,5.8,15.4,21.2,11.1
1994,7.9,15.2,22.8,11.2
1995,6.7,14.3,20.9,11.1
1996,7.0,15.5,20.0,10.2
1997,7.9,15.3,21.7,11.5
1998,7.6,16.1,22.2,9.5
1999,6.5,16.7,22.3,10.7
2000,7.1,17.4,21.7,12.4
2001,9.2,15.9,22.2,11.2
2002,8.5,17.7,20.6,12.4
2003,6.7,19.0,24.9,11.0
2004,7.0,15.6,22.9,12.3
2005,6.1,16.7,21.4,9.2
2006,5.2,15.7,22.1,11.3
2007,7.9,17.0,21.7,9.4
2008,7.0,15.3,21.8,10.5
2009,7.5,17.9,23.7,11.2
2010,7.0,16.0,22.5,10.7
2011,6.5,16.6,21.9,10.9
2012,6.4,16.1,23.4,10.8
2013,5.7,15.2,22.2,11.0
2014,8.1,15.5,20.6,12.3
2015,8.0,17.4,24.6,11.7
2016,7.7,15.9,22.1,10.4
