year,F1,F3,M4
,label F1,label F3,label M4
1987,28,111,5
1988,30,97,9
1989,32,97,7
1990,29,107,6
1991,23,114,9
1992,35,108,8
1993,34,115,7
1994,27,112,8
1995,33,105,10
1996,47,110,9
1997,27,112,8
1998,38,121,9
1999,39,126,10
2000,25,112,7
2001,24,103,6
2002,40,105,8
2003,25,112,8
2004,32,110,6
2005,35,110,9
2006,26,105,8
2007,34,100,6
2008,36,105,9
2009,36,114,9
2010,26,108,8
2011,25,104,6
2012,41,115,8
2013,32,107,7
2014,29,99,10
2015,26,103,7
2016,27,110,9
2016
2017,26,111,9
2018,21,111,4
2019,19,107,7
2020,23,113,7
2021,27,117,8
2022,27,107,9
2023,31,104,6
2024,22,104,8
2025,22,116,7
2026,33,103,8
2027,28,108,9
2028,24,109,8
2029,26,113,7
2030,26,100,8
2031,25,111,9
2032,21,105,10
2033,30,112,9
2034,21,114,8
2035,20,94,8
2036,19,107,8
2037,30,98,6
2038,27,100,9
2039,35,106,7
2040,25,112,9
2041,30,112,7
2042,22,109,7
2043,22,110,6
2044,33,105,8
2045,17,108,7
2046,33,106,8

min,,70
max,,140
steps,,11
decimal
