year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,87,182,166,194
1988,204,318,241,137
1989,62,227,204,78
1990,88,252,108,178
1991,97,103,131,128
1992,157,256,284,449
1993,46,329,407,445
1994,111,233,226,202
1995,128,161,218,136
1996,120,177,186,256
1997,84,164,157,108
1998,94,276,201,103
1999,98,172,160,197
2000,93,217,240,168
2001,171,233,189,110
2002,66,187,187,251
2003,68,115,143,270
2004,100,99,257,182
2005,35,154,216,159
2006,200,125,251,188
2007,121,255,173,127
2008,88,310,182,310
2009,82,167,167,141
2010,164,206,107,322
2011,64,107,135,223
2012,26,361,189,185
2013,387,397,289,203
2014,298,184,393,683
2015,98,181,223,296
2016,307,399,284,711
