year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,8,-79,-160,117
1988,113,104,-80,54
1989,-60,-42,-118,-21
1990,-15,9,-229,102
1991,6,-158,-210,53
1992,35,-64,-80,354
1993,-81,64,106,369
1994,18,3,-93,114
1995,38,-98,-73,54
1996,49,-64,-81,177
1997,-45,-95,-137,25
1998,-24,29,-118,21
1999,11,-73,-141,114
2000,-4,-29,-55,97
2001,87,-26,-105,20
2002,-34,-86,-85,174
2003,-32,-199,-231,197
2004,6,-187,-63,108
2005,-52,-157,-111,78
2006,117,-187,-67,97
2007,28,-31,-136,35
2008,-13,72,-120,231
2009,-18,-110,-180,52
2010,78,-69,-268,240
2011,-45,-240,-214,114
2012,-113,72,-178,98
2013,302,158,-57,115
2014,198,-119,116,592
2015,-4,-151,-154,202
2016,212,128,-87,616
