year,A1,A2,A3
,label A1,label A2,label A3
1987,1,3240,10
1988,4,3384,62
1989,7,3533,54
1990,1,3276,29
1991,4,3143,62
1992,0,3310,13
1993,1,3605,18
1994,2,3338,43
1995,12,3429,80
1996,0,3436,4
1997,2,3248,46
1998,8,3222,50
1999,2,3625,45
2000,2,3144,38
2001,0,3403,13
2002,5,3531,59
2003,8,3581,71
2004,3,3434,49
2005,1,3451,44
2006,1,3232,18
2007,2,3271,20
2008,5,3257,42
2009,3,3018,32
2010,6,3283,51
2011,9,3459,70
2012,8,3384,77
2013,1,3545,37
2014,9,3317,73
2015,8,3246,63
2016,0,3284,19
2016
2017,9,3002,71
2018,12,2942,118
2019,6,3440,56
2020,20,2938,148
2021,7,2853,112
2022,15,3201,116
2023,9,2728,116
2024,2,2752,65
2025,18,3042,133
2026,9,2965,80
2027,9,3072,101
2028,37,3294,285
2029,1,3197,21
2030,1,3056,47
2031,13,2696,104
2032,15,3115,103
2033,15,2968,152
2034,31,2852,200
2035,10,3082,82
2036,11,3229,112
2037,15,2951,122
2038,11,3011,76
2039,10,3340,81
2040,11,3163,110
2041,11,3271,104
2042,14,3124,130
2043,12,3266,107
2044,8,3352,96
2045,9,3059,99
2046,12,2859,91

min,,2200
max,,3800
steps,,9
decimal

min
max
