year,A1,A2,A3
,label A1,label A2,label A3
1987,21,3001,145
1988,19,2953,126
1989,22,3262,154
1990,17,2900,116
1991,3,3120,56
1992,41,2826,230
1993,3,2901,63
1994,20,2933,190
1995,3,3028,59
1996,21,2875,155
1997,0,3191,57
1998,8,3034,84
1999,28,3354,214
2000,11,3030,120
2001,12,2871,85
2002,24,2944,151
2003,12,2884,101
2004,4,3391,71
2005,26,3033,157
2006,21,2942,128
2007,24,3000,187
2008,10,2636,77
2009,11,3269,104
2010,28,2997,187
2011,25,2900,185
2012,18,2682,129
2013,16,2977,128
2014,19,3008,135
2015,20,2863,150
2016,22,2990,152
2016
2017,13,2696,101
2018,26,2629,206
2019,29,2596,222
2020,38,2562,211
2021,21,2720,195
2022,43,2679,264
2023,13,2732,136
2024,9,2421,98
2025,24,2623,151
2026,29,2456,244
2027,32,2348,236
2028,12,2720,100
2029,17,2584,159
2030,25,2809,190
2031,15,2821,104
2032,19,2864,166
2033,8,2623,98
2034,18,2875,155
2035,39,2862,243
2036,24,2746,178
2037,22,2612,197
2038,29,2815,161
2039,27,2440,156
2040,9,2452,85
2041,9,2791,99
2042,36,2566,245
2043,49,2342,296
2044,48,2782,306
2045,24,2704,168
2046,18,2557,106

min,,2000
max,,4000
steps,,9
decimal
