year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,80,-75,-56,7
1988,44,-221,-156,41
1989,-22,-185,-206,48
1990,-44,-185,-191,34
1991,-48,-150,-201,4
1992,48,-220,-162,47
1993,-10,-168,-46,55
1994,66,-24,-37,23
1995,-39,-42,-53,12
1996,-36,-139,-43,42
1997,18,-213,-131,36
1998,-12,-126,-74,102
1999,32,-76,-122,68
2000,109,-222,-62,-7
2001,79,-101,-40,61
2002,-6,-120,-69,150
2003,15,-253,-227,32
2004,56,-67,-126,83
2005,27,-156,-28,71
2006,61,-145,-225,26
2007,34,-174,-5,47
2008,11,-89,-141,45
2009,81,-133,-139,152
2010,35,-111,122,123
2011,8,-234,25,12
2012,23,-156,-160,66
2013,89,68,-185,51
2014,-60,-118,-59,14
2015,14,-207,-109,64
2016,52,-156,-220,79
