year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,149,25,-21,105
1988,187,-203,-102,161
1989,30,-170,-62,116
1990,-26,-165,-149,52
1991,-31,-97,-188,17
1992,58,-77,-6,174
1993,80,-151,-42,156
1994,151,-11,-36,125
1995,132,-38,-77,22
1996,4,-65,-51,142
1997,52,-79,-151,93
1998,34,-63,51,256
1999,102,-50,-24,143
2000,138,-105,17,78
2001,145,-111,-6,150
2002,112,6,-35,186
2003,48,-152,-195,78
2004,123,-92,-43,117
2005,105,24,-56,90
2006,75,-13,-125,100
2007,148,-75,88,150
2008,78,-116,-109,79
2009,105,-100,-95,169
2010,89,-126,-60,93
2011,21,-189,-120,104
2012,61,-117,-136,118
2013,52,69,-178,160
2014,-19,-84,81,70
2015,52,-201,-76,59
2016,92,-136,-68,57
