year,A1,A2,A3
,label A1,label A2,label A3
1987,3,2831,25
1988,9,3171,72
1989,16,3258,105
1990,8,2953,67
1991,3,3120,46
1992,10,3189,77
1993,4,3179,53
1994,6,3232,63
1995,14,3014,107
1996,7,2727,63
1997,8,3241,93
1998,18,3391,125
1999,11,3083,82
2000,13,3136,94
2001,19,3260,111
2002,11,2950,96
2003,11,3112,70
2004,3,3144,37
2005,15,3614,80
2006,6,3151,72
2007,12,3263,81
2008,1,3275,18
2009,5,3000,49
2010,2,3504,37
2011,15,3341,108
2012,7,3105,48
2013,8,3193,65
2014,6,3462,41
2015,10,3062,87
2016,8,3230,64
2016
2017,6,2782,51
2018,13,2975,98
2019,6,3026,66
2020,17,2808,124
2021,8,3018,84
2022,26,3081,155
2023,15,2977,127
2024,9,2945,108
2025,26,2758,163
2026,21,3167,200
2027,6,2904,67
2028,18,2947,135
2029,4,2992,49
2030,12,2965,136
2031,3,2826,36
2032,6,2844,65
2033,11,2880,105
2034,37,2782,254
2035,6,2998,62
2036,24,3193,176
2037,23,2765,139
2038,13,2805,112
2039,17,2869,104
2040,9,3106,66
2041,14,2998,82
2042,4,2855,57
2043,6,2605,63
2044,7,2922,67
2045,14,2993,96
2046,2,2904,29

min,,2000
max,,4000
steps,,9
decimal
