year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,136,137,205,99
1988,162,78,97,102
1989,56,61,88,140
1990,86,150,135,107
1991,48,167,56,110
1992,173,55,153,142
1993,87,200,165,132
1994,179,152,243,123
1995,120,199,202,98
1996,27,133,198,109
1997,106,105,160,130
1998,112,194,199,152
1999,124,127,79,111
2000,190,69,171,91
2001,155,182,248,136
2002,101,150,225,211
2003,95,107,126,99
2004,141,191,186,155
2005,109,141,258,147
2006,117,149,120,120
2007,143,159,285,115
2008,119,202,160,118
2009,145,143,173,226
2010,111,150,408,179
2011,92,107,323,97
2012,116,150,155,135
2013,144,318,130,134
2014,42,171,231,87
2015,102,94,235,144
2016,134,141,103,135
