year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,86,-92,-45,31
1988,91,-204,-191,31
1989,-37,-233,-205,64
1990,-30,-127,-166,31
1991,-31,-72,-247,38
1992,86,-282,-177,68
1993,-3,-123,-98,70
1994,93,-137,-76,46
1995,23,-57,-124,38
1996,-34,-127,-58,44
1997,20,-184,-148,59
1998,13,-94,-81,96
1999,62,-127,-202,56
2000,125,-233,-98,21
2001,89,-95,-38,75
2002,11,-116,-60,155
2003,23,-229,-210,43
2004,60,-70,-109,93
2005,29,-152,-11,82
2006,60,-149,-231,34
2007,40,-174,10,52
2008,21,-103,-123,53
2009,85,-147,-141,161
2010,39,-120,118,117
2011,10,-238,44,20
2012,27,-158,-153,66
2013,88,52,-183,61
2014,-51,-125,-61,22
2015,20,-208,-97,73
2016,56,-162,-212,84
