year,annual-hydric-deficit
1987,-20
1988,-273
1989,-411
1990,-292
1991,-313
1992,-305
1993,-153
1994,-74
1995,-120
1996,-175
1997,-254
1998,-66
1999,-210
2000,-185
2001,31
2002,-10
2003,-373
2004,-26
2005,-53
2006,-285
2007,-72
2008,-152
2009,-42
2010,154
2011,-164
2012,-218
2013,18
2014,-214
2015,-213
2016,-234
