year,F1,F3,M4
,label F1,label F3,label M4-LCF
1987,70,127,0
1988,63,130,0
1989,48,120,1
1990,72,132,0
1991,63,139,0
1992,62,140,0
1993,88,142,0
1994,77,132,0
1995,77,138,0
1996,62,136,0
1997,70,136,0
1998,93,148,0
1999,36,130,0
2000,63,127,0
2001,69,138,0
2002,82,138,0
2003,73,126,0
2004,58,130,0
2005,59,134,0
2006,75,135,1
2007,81,143,0
2008,76,131,1
2009,103,151,0
2010,71,138,0
2011,78,140,0
2012,82,148,0
2013,78,138,2
2014,40,122,0
2015,71,147,0
2016,78,137,0
2016
2017,64,136,0
2018,67,131,0
2019,74,133,0
2020,62,127,0
2021,35,138,0
2022,61,125,0
2023,69,125,0
2024,51,133,0
2025,47,129,0
2026,86,146,1
2027,69,134,0
2028,86,133,0
2029,62,132,1
2030,70,125,0
2031,49,124,1
2032,59,132,0
2033,81,140,0
2034,60,128,0
2035,85,141,0
2036,95,136,1
2037,64,122,0
2038,56,127,0
2039,54,123,0
2040,52,134,0
2041,68,133,1
2042,89,138,1
2043,84,147,0
2044,61,137,0
2045,33,138,0
2046,77,133,2

min,,90,0
max,,190,6
steps,,11,7
decimal
