year,A1,A2,A3
,label A1,label A2,label A3
1987,9,3186,62
1988,22,3108,132
1989,18,3230,115
1990,8,3355,65
1991,8,3190,69
1992,16,3337,109
1993,5,3154,64
1994,7,3291,75
1995,24,3208,174
1996,10,3311,95
1997,13,3018,112
1998,17,3004,94
1999,17,3029,134
2000,12,3383,82
2001,18,3073,94
2002,7,3247,69
2003,12,3254,81
2004,13,3432,101
2005,12,3274,83
2006,4,3313,54
2007,16,3541,84
2008,5,3289,61
2009,36,3661,209
2010,8,3281,89
2011,6,3077,66
2012,11,3260,107
2013,20,3140,146
2014,17,3380,126
2015,15,3251,133
2016,4,3042,40
2016
2017,23,2777,158
2018,42,2911,286
2019,23,3109,170
2020,33,3223,201
2021,29,2663,251
2022,45,2795,255
2023,13,3025,138
2024,29,2698,186
2025,20,2914,141
2026,27,3041,221
2027,35,2790,234
2028,24,2419,172
2029,32,3005,241
2030,28,2835,194
2031,21,2889,151
2032,29,3017,201
2033,24,2687,158
2034,46,2872,280
2035,17,2718,137
2036,27,2737,188
2037,26,2536,170
2038,40,2805,244
2039,47,2697,277
2040,30,2724,186
2041,13,2913,100
2042,45,2695,305
2043,34,2945,239
2044,31,2910,185
2045,29,2683,174
2046,44,2974,254
