year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,76,54,-1,79
1988,135,-29,17,192
1989,20,-36,8,99
1990,90,-99,-158,166
1991,83,-39,-91,181
1992,177,7,25,342
1993,88,18,430,214
1994,130,139,257,202
1995,147,164,-65,196
1996,26,-86,59,160
1997,36,-59,-61,112
1998,180,90,213,330
1999,323,485,130,314
2000,327,-5,475,218
2001,294,273,258,225
2002,102,221,487,445
2003,122,-108,8,390
2004,159,161,170,146
2005,142,110,239,150
2006,161,182,298,127
2007,181,51,425,155
2008,117,136,215,228
2009,317,180,42,396
2010,140,290,499,287
2011,158,150,342,227
2012,42,169,282,435
2013,334,544,75,188
2014,114,50,366,273
2015,186,311,22,180
2016,167,175,-51,84
