year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,0.0,12.4,18.6,6.4
1988,3.5,14.2,17.8,6.1
1989,4.2,13.5,18.0,5.7
1990,5.2,13.5,17.8,6.4
1991,3.2,11.7,19.4,5.4
1992,3.0,14.4,19.5,5.8
1993,2.7,15.1,16.9,5.1
1994,4.6,13.2,19.1,7.5
1995,3.5,12.9,17.7,5.8
1996,1.1,13.7,15.9,5.0
1997,3.7,13.0,17.9,6.1
1998,3.8,14.6,17.6,5.2
1999,3.0,13.7,18.5,5.2
2000,3.7,15.3,17.2,7.5
2001,4.8,13.1,17.0,5.6
2002,4.6,14.4,16.9,7.4
2003,2.2,16.2,19.4,5.1
2004,3.0,13.6,18.4,6.3
2005,2.2,14.5,17.7,5.6
2006,0.9,14.4,19.4,8.3
2007,5.8,16.2,17.1,5.2
2008,4.6,14.7,17.5,5.8
2009,1.6,15.5,19.2,6.5
2010,1.1,13.0,17.1,4.3
2011,2.8,14.6,17.2,5.8
2012,1.9,13.8,17.6,5.7
2013,1.0,12.4,18.0,5.6
2014,4.4,13.9,16.8,7.4
2015,2.3,13.8,18.5,6.5
2016,3.6,13.3,18.6,5.1
