year,F1,F3,M4
,label F1,label F3,label M4-LCF
1987,80,138,0
1988,85,138,0
1989,90,132,0
1990,97,144,0
1991,62,144,0
1992,77,147,0
1993,57,130,0
1994,90,138,0
1995,90,155,0
1996,68,138,0
1997,57,134,1
1998,83,132,0
1999,88,134,0
2000,89,137,1
2001,63,130,0
2002,75,145,0
2003,93,140,1
2004,83,140,0
2005,77,133,0
2006,73,152,0
2007,106,155,0
2008,101,143,0
2009,111,158,0
2010,75,146,0
2011,89,132,0
2012,90,146,0
2013,66,136,0
2014,74,139,0
2015,81,139,0
2016,64,139,0
2016
2017,72,123,0
2018,88,136,0
2019,86,149,0
2020,80,148,0
2021,61,121,0
2022,71,150,0
2023,76,141,0
2024,59,128,0
2025,93,144,0
2026,68,137,1
2027,58,135,0
2028,67,118,0
2029,77,139,0
2030,70,141,0
2031,69,141,0
2032,85,152,1
2033,69,131,0
2034,81,132,0
2035,49,134,0
2036,56,129,1
2037,70,127,0
2038,58,142,0
2039,64,138,0
2040,64,135,0
2041,89,138,0
2042,77,135,1
2043,76,138,0
2044,87,148,0
2045,43,139,0
2046,90,136,0

min,,90,0
max,,190,6
steps,,11,7
decimal
