year,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10
1987,1236,511,578,284,155,8.6,3243,17,15.8,90
1988,970,551,265,-28,176,9.0,3471,37,16.2,88
1989,1221,569,504,178,197,8.8,3569,46,15.8,98
1990,1104,560,398,85,218,8.2,3226,27,16.6,111
1991,1035,629,211,69,42,8.6,3348,25,15.9,94
1992,976,517,296,80,115,8.3,3247,29,16.5,102
1993,983,644,101,-113,95,8.5,3335,22,15.8,86
1994,1000,651,157,-86,144,8.2,3334,28,15.2,120
1995,1112,553,409,131,149,9.1,3482,44,18.8,104
1996,1129,642,278,-33,224,8.4,3340,31,16.9,96
1997,750,644,-87,-265,59,9.2,3457,38,16.2,78
1998,1075,553,354,130,125,9.2,3513,30,16.9,99
1999,986,679,86,-89,37,9.5,3622,40,18.2,91
2000,851,627,23,-197,118,7.8,3139,23,15.5,106
2001,1029,498,365,131,129,8.8,3349,25,16.2,91
2002,1031,544,334,66,140,8.3,3165,26,15.8,107
2003,1061,545,366,128,105,8.6,3376,32,17.1,96
2004,1156,549,449,109,204,8.3,3318,27,17.5,110
2005,1080,566,363,167,89,8.5,3345,26,16.2,90
2006,848,514,175,7,58,8.2,3179,24,16.6,98
2007,1007,531,344,92,98,7.7,3030,26,16.4,118
2008,1063,506,420,210,97,8.2,3240,20,16.1,104
2009,935,573,224,-83,195,8.1,3232,59,17.9,128
2010,1251,540,564,198,167,8.1,3161,33,15.0,100
2011,1128,547,426,167,127,8.9,3494,31,15.0,104
2012,965,539,275,-14,158,8.6,3375,35,16.1,90
2013,985,546,280,3,125,8.8,3395,40,16.6,79
2014,998,571,283,24,118,8.5,3471,45,16.9,91
2015,1037,549,341,-11,187,8.7,3320,30,16.8,94
2016,1093,505,430,250,64,8.9,3357,14,15.0,77
2016
2017,1006,563,270,-138,239,10.3,3880,46,18.3,66
2018,881,586,129,-3,107,10.1,3828,55,18.5,94
2019,1029,562,324,68,184,9.4,3566,43,17.5,82
2020,869,557,161,21,99,9.0,3443,44,17.9,103
2021,975,662,100,-139,113,11.0,4075,63,17.9,68
2022,962,584,215,-91,196,10.6,3945,61,18.1,73
2023,987,652,97,-61,28,9.5,3571,46,17.5,102
2024,989,647,113,-77,89,10.7,3983,50,18.2,64
2025,993,543,299,-1,157,9.8,3716,36,17.4,90
2026,827,674,-82,-201,134,9.9,3820,54,18.2,98
2027,1123,681,222,66,88,10.7,3979,65,18.2,88
2028,917,601,129,-35,82,11.3,4195,59,17.8,62
2029,937,707,1,-244,184,9.9,3774,59,18.0,83
2030,1119,656,254,-104,267,10.2,3787,53,18.4,65
2031,1076,536,368,131,146,10.0,3721,43,17.9,75
2032,949,561,226,-49,179,9.6,3592,49,18.4,94
2033,991,562,256,4,189,10.4,3853,41,17.8,64
2034,1027,609,259,-111,218,10.4,3894,63,18.2,83
2035,1164,556,450,94,218,10.3,3792,42,16.9,59
2036,843,573,104,-78,100,10.6,3943,48,18.9,64
2037,999,591,241,26,173,10.9,3998,48,16.4,64
2038,821,574,75,-178,137,10.4,3890,65,18.3,80
2039,1010,613,221,60,63,10.9,4024,63,19.0,63
2040,929,546,213,-12,151,10.3,3834,51,16.4,72
2041,861,562,138,-141,160,9.4,3550,28,16.5,84
2042,779,585,34,-176,150,10.8,4060,65,17.7,65
2043,972,570,229,-40,153,10.0,3800,45,17.4,70
2044,1112,537,411,40,181,9.8,3708,41,17.5,90
2045,891,537,179,45,72,10.5,3851,43,17.6,52
2046,1111,596,357,28,196,10.1,3892,67,18.4,93

min,200,400,,,,6,2500,,12,30
max,1100,1000,,,,14,5000,,24,150
steps,10,11,,,,9,11,,5,9
decimal

