year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,140,300,265,140
1988,211,245,292,248
1989,99,243,268,163
1990,173,157,112,230
1991,156,200,172,239
1992,251,289,313,398
1993,166,310,689,277
1994,214,391,542,266
1995,232,416,224,251
1996,95,197,328,220
1997,119,224,220,178
1998,258,388,475,383
1999,384,724,383,361
2000,389,275,731,282
2001,372,537,528,295
2002,189,511,745,515
2003,210,215,337,445
2004,243,443,460,209
2005,224,416,520,212
2006,229,484,619,207
2007,283,378,698,222
2008,212,434,500,290
2009,384,494,356,467
2010,221,590,794,351
2011,244,480,639,298
2012,137,489,589,503
2013,408,824,420,265
2014,209,370,632,357
2015,279,614,364,257
2016,264,430,236,150
