year,annual-precipitations
1987,845
1988,996
1989,773
1990,671
1991,766
1992,1251
1993,1443
1994,1412
1995,1123
1996,839
1997,739
1998,1503
1999,1851
2000,1678
2001,1732
2002,1960
2003,1207
2004,1354
2005,1371
2006,1539
2007,1582
2008,1435
2009,1700
2010,1956
2011,1660
2012,1718
2013,1916
2014,1568
2015,1514
2016,1080
