year,C1,C2,C3,C12,M1,M2,M8,Co2,Co3
,label C1,label C2-LCF,label C3,label C12,label M1-LCF,label M2,label M8,label Co2,label Co3
1987,13,28,-56,1,5,-180,50,48,95
1988,15,25,-2,2,8,-148,60,22,98
1989,16,24,-103,6,5,-130,57,24,137
1990,12,39,-113,4,6,-150,60,15,157
1991,8,18,-194,5,6,-347,61,37,153
1992,2,25,61,2,9,-73,73,38,162
1993,22,13,-92,6,7,-273,55,35,91
1994,18,28,-169,5,15,-291,64,28,127
1995,0,30,-59,5,5,-166,71,18,103
1996,8,41,-58,2,7,-108,74,27,166
1997,12,16,-107,3,8,-255,54,38,64
1998,8,19,-19,2,12,-99,69,47,118
1999,4,18,-65,2,11,-229,73,42,109
2000,21,37,-107,4,11,-270,60,29,121
2001,5,18,-1,4,8,-121,70,24,115
2002,3,21,34,4,16,-103,71,18,125
2003,18,14,-90,3,3,-160,47,42,104
2004,13,38,-49,3,14,-221,67,30,84
2005,11,38,-115,3,4,-232,60,37,95
2006,5,27,8,0,10,18,65,21,136
2007,1,14,54,2,9,-32,81,35,103
2008,15,16,-50,3,3,-120,61,28,97
2009,11,35,-87,4,2,-117,63,50,151
2010,10,27,-105,5,7,-210,52,21,94
2011,11,27,18,3,5,-71,74,26,120
2012,2,15,-75,2,11,-142,71,41,104
2013,3,21,-24,2,4,-57,73,24,121
2014,12,6,-13,6,6,-95,49,52,117
2015,6,8,-7,3,3,-54,60,26,167
2016,6,30,-128,3,0,-259,35,34,57
2016
2017,17,10,-53,3,20,-121,62,17,187
2018,18,7,52,1,1,22,59,31,155
2019,14,17,-51,1,8,-144,68,20,77
2020,23,22,-21,1,16,-130,51,8,110
2021,9,9,-101,7,10,-288,65,27,120
2022,9,21,-27,2,0,-31,55,15,198
2023,14,30,-132,5,4,-272,51,16,140
2024,12,20,-3,2,3,-158,57,39,91
2025,13,9,-29,3,12,-131,62,33,106
2026,15,23,-83,1,22,-195,50,20,104
2027,10,13,-52,3,13,-144,57,14,199
2028,7,5,-101,3,7,-173,59,21,78
2029,18,22,-176,5,8,-298,52,16,174
2030,13,31,-30,4,8,-191,59,8,86
2031,8,23,-35,3,6,-129,68,13,120
2032,20,24,-84,5,8,-198,47,10,88
2033,22,10,-65,2,7,-50,49,41,134
2034,26,31,-107,2,11,-138,46,50,143
2035,20,23,-107,2,17,-156,48,5,152
2036,16,13,-9,3,18,-178,70,19,54
2037,7,23,-10,4,0,-159,59,9,84
2038,21,11,-18,2,10,-74,56,23,195
2039,30,22,-106,2,9,-121,33,19,180
2040,11,12,-62,1,5,-154,64,29,68
2041,15,19,-35,5,7,-172,53,8,103
2042,32,16,-78,2,19,-86,44,22,186
2043,22,20,-148,4,22,-293,58,35,64
2044,22,24,-63,4,5,-174,52,33,57
2045,11,19,-33,2,6,-102,57,19,160
2046,17,26,-62,2,11,-116,57,24,121

min,,,,,,,10
max,,,,,,,90
steps,,,,,,,9
decimal
