year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,-2.2,11.3,16.2,5.2
1988,2.8,12.8,16.3,5.3
1989,3.8,12.4,17.0,5.2
1990,4.5,12.0,15.6,4.6
1991,2.1,10.4,17.8,4.3
1992,2.6,12.8,17.0,4.3
1993,1.5,14.1,15.4,3.7
1994,3.0,12.4,17.8,6.3
1995,2.4,11.8,17.1,4.2
1996,-0.8,11.4,14.5,3.6
1997,2.4,11.5,17.0,4.4
1998,3.9,13.4,15.8,3.8
1999,2.8,12.9,18.1,4.7
2000,3.6,14.3,16.0,6.3
2001,2.8,12.2,16.7,5.4
2002,3.6,13.2,16.8,5.2
2003,1.5,14.4,18.6,4.6
2004,1.9,12.1,16.7,4.7
2005,1.4,12.7,16.7,5.3
2006,-0.5,12.5,18.2,7.6
2007,4.9,14.4,15.4,4.2
2008,3.7,13.1,16.2,4.7
2009,0.4,13.2,16.9,5.4
2010,-0.1,11.8,16.3,3.0
2011,2.5,13.8,16.6,5.8
2012,2.1,12.7,16.3,5.0
2013,-0.4,11.7,16.7,6.0
2014,4.7,13.0,16.6,6.8
2015,2.5,12.3,17.6,7.3
2016,2.7,12.7,17.8,4.5
