year,A1,A2,A3
,label A1,label A2,label A3
1987,82,1644,644
1988,80,1747,587
1989,86,1768,686
1990,77,1906,722
1991,77,1850,714
1992,93,2031,714
1993,95,1792,754
1994,86,1785,786
1995,89,1923,690
1996,96,1687,786
1997,87,1934,832
1998,83,2110,661
1999,90,1805,738
2000,85,1944,772
2001,90,1726,734
2002,111,1872,907
2003,101,1698,832
2004,94,1676,729
2005,96,1955,758
2006,88,1886,752
2007,93,1779,772
2008,76,1869,685
2009,83,1778,682
2010,102,1774,801
2011,81,1936,687
2012,106,1943,873
2013,104,1944,835
2014,70,2163,654
2015,93,1825,719
2016,89,1865,759
2016
2017,127,1479,970
2018,104,1629,925
2019,123,1929,998
2020,98,1623,808
2021,103,1670,870
2022,113,1635,1031
2023,118,1613,884
2024,91,1543,890
2025,101,1605,957
2026,107,1710,935
2027,117,1878,1127
2028,115,1684,1013
2029,108,1670,909
2030,101,1665,967
2031,117,1641,986
2032,96,1613,773
2033,107,1634,823
2034,100,1542,943
2035,117,1902,1074
2036,128,1730,1085
2037,122,1942,1040
2038,110,1800,902
2039,90,1744,808
2040,112,1403,976
2041,122,1668,1059
2042,119,1727,997
2043,110,1976,908
2044,117,1606,888
2045,123,1585,1049
2046,104,1487,909

min,50,1500,450
max,130,2200,1150
steps,9,8,9
decimal
