year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,148,452,495,113
1988,152,367,505,112
1989,142,400,469,128
1990,167,430,535,144
1991,133,437,471,107
1992,132,361,434,103
1993,132,345,438,97
1994,139,409,476,110
1995,153,431,448,119
1996,133,392,418,111
1997,165,401,467,117
1998,151,385,500,116
1999,149,435,458,102
2000,132,381,442,112
2001,137,404,481,132
2002,158,450,516,139
2003,164,485,552,127
2004,145,421,509,140
2005,160,482,532,143
2006,146,483,555,136
2007,150,402,517,135
2008,155,397,510,125
2009,162,490,565,159
2010,137,418,497,127
2011,142,462,528,138
2012,172,464,542,124
2013,130,403,510,130
2014,151,489,523,137
2015,154,482,532,132
2016,154,441,579,136
