year,annual-hydric-deficit
1987,1208
1988,1136
1989,1140
1990,1276
1991,1149
1992,1029
1993,1012
1994,1133
1995,1151
1996,1055
1997,1150
1998,1152
1999,1144
2000,1067
2001,1154
2002,1262
2003,1327
2004,1215
2005,1317
2006,1320
2007,1204
2008,1187
2009,1376
2010,1180
2011,1270
2012,1302
2013,1173
2014,1301
2015,1300
2016,1311
