year,F1,F3,M4
,label F1,label F3,label M4-FGN
1987,24,107,4
1988,24,104,4
1989,30,107,3
1990,30,112,4
1991,31,107,2
1992,30,109,3
1993,45,101,4
1994,25,102,4
1995,38,114,4
1996,30,108,3
1997,44,108,4
1998,35,114,4
1999,36,106,2
2000,33,109,4
2001,29,104,4
2002,41,108,4
2003,37,104,4
2004,38,9,3
2005,41,114,4
2006,22,116,4
2007,31,103,4
2008,33,109,4
2009,38,109,4
2010,32,102,2
2011,31,110,3
2012,36,109,4
2013,33,110,3
2014,47,116,3
2015,30,109,4
2016,32,113,3
2016
2017,23,96,3
2018,35,104,4
2019,35,120,3
2020,23,101,4
2021,28,9,4
2022,30,102,4
2023,30,96,4
2024,22,99,2
2025,28,93,3
2026,34,97,4
2027,36,109,4
2028,20,95,2
2029,29,9,4
2030,25,105,4
2031,24,99,4
2032,20,95,5
2033,31,105,5
2034,26,102,3
2035,34,112,4
2036,35,104,4
2037,34,109,4
2038,21,103,3
2039,38,101,4
2040,27,92,4
2041,18,115,4
2042,32,105,4
2043,24,115,4
2044,28,9,3
2045,23,91,4
2046,19,103,3
