year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,8.2,18.3,24.8,10.6
1988,8.3,16.2,24.3,10.4
1989,8.2,17.4,25.1,12.7
1990,8.9,16.3,24.2,9.9
1991,8.2,17.4,25.4,9.9
1992,7.3,17.2,24.4,10.4
1993,8.0,16.7,24.0,9.3
1994,9.2,18.0,25.3,11.7
1995,9.7,19.4,24.5,13.2
1996,8.8,18.4,23.3,11.5
1997,10.5,18.2,24.2,12.0
1998,10.5,17.3,25.5,10.3
1999,8.4,19.4,25.5,10.3
2000,8.9,18.2,24.8,11.6
2001,10.4,19.2,25.2,10.5
2002,9.5,18.4,24.3,12.5
2003,8.8,19.8,25.5,11.1
2004,9.2,17.7,25.4,10.9
2005,7.3,20.3,25.4,10.7
2006,8.4,20.4,25.8,12.2
2007,8.3,16.9,24.1,10.0
2008,9.9,17.6,24.4,10.2
2009,8.4,19.0,25.1,12.6
2010,7.9,17.6,25.3,10.6
2011,8.4,20.0,25.4,12.0
2012,7.6,19.0,25.1,11.3
2013,7.7,16.4,25.1,10.9
2014,9.5,19.8,24.9,12.4
2015,8.3,20.2,26.0,12.4
2016,8.7,18.0,26.1,11.6
