year,annual-frozen-days
1987,34
1988,43
1989,29
1990,29
1991,29
1992,42
1993,46
1994,35
1995,14
1996,13
1997,10
1998,26
1999,39
2000,25
2001,19
2002,8
2003,16
2004,13
2005,44
2006,23
2007,33
2008,21
2009,23
2010,25
2011,23
2012,49
2013,43
2014,10
2015,29
2016,18
